Nume,Recomandat,MunteMinute,Access-auto,Loc-parcare,Parcare,TipImobil,Imprejurimi,Panorama,Luminos,Liniste,Camere,Bucatarie,Restaurant,Pat,Canapea,Zona-lucru,Link,Pret
Rasnov-Teilor,saptamana,30,usor,da,usoara,apartament,curte,nu,da,da,2,completa,aproape,bun,fara,masa,https://www.booking.com/hotel/ro/apartament-teilor-rasnov.ro.html,250
Rasnov-ApNord,weekend,30,usor,da,relativ-usoara,apartament,strada,nu,nu,da,2,completa,aproape,bun,comoda,masa,https://www.booking.com/hotel/ro/rosenau-apartment.ro.html,250
Rasnov-ApBucegi,weekend,30,usor,strada,usoara,apartament,strada,nu,da,da,2,partiala,masina,bun,comoda,masa,https://www.booking.com/hotel/ro/bucegi-nr-18.ro.html,320
Rasnov-LoftSeo,saptamana,30,usor,da,usoara,apartament,strada,nu,da,da,2,completa,masina,bun,comoda,masa,https://www.airbnb.com.ro/rooms/33866770,280
Busteni-Valba,saptamana,5,relativ-usor,da,relativ-usoara,camera,strada,da,da,relativ,2,comuna,aproape,bun,incomoda,nu,https://www.turistinfo.ro/busteni/cazare-busteni/pensiunea_valea_alba-c1021.html,250
Busteni-AlteoStudio,saptamana,15,usor,da,da,apartament,strada,da,da,relativ,2,completa,aproape,bun,comoda,da,https://www.airbnb.com/rooms/28732943,250
Zarnesti-Studio54,weekend,15,usor,da,relativ-usoara,camera,curte,nu,nu,da,1,partiala,masina,bun,fara,masa,https://www.airbnb.com.ro/rooms/52295047,250
Zarnesti-TreiBrazi,weekend,15,usor,da,usoara,camera,gradina,da,da,relativ,1,nu,aproape,bun,fara,nu,https://www.booking.com/hotel/ro/pensiunea-3-brazi-zarnesti.ro.html,280
BaiaFier-Tobo,saptamana,5,usor,da,usoara,apartament,strada,da,da,relativ,2,nu,aproape,bun,comoda,masa,https://www.booking.com/hotel/ro/pensiunea-tobo.ro.html,300
Brasov-ApRadu,weekend,60,?,strada,usoara,apartament,strada,da,da,da,2,completa,masina,bun,incomoda,masa,https://www.airbnb.com.ro/rooms/570944844087299571,250
Brasov-TGAndrada,weekend,60,greu,da,usoara,apartament,strada,da,da,da,2,completa,masina,bun,comoda,masa,https://www.airbnb.com.ro/rooms/36388572,250
Brasov-TGAndrada2,saptamana,60,greu,da,usoara,apartament,strada,da,da,da,2,completa,masina,bun,comoda,masa,https://www.airbnb.com.ro/rooms/50370129,250
Brasov-LoftMari,weekend,60,?,strada,?,apartament,strada,nu,nu,da,1,completa,masina,bun,fara,masa,https://www.airbnb.com.ro/rooms/766707614240382526,200
